Netlist,LOFi1,LOFi2,PI
g2142,4,6,23
n3322,2,2,4
n4653,1,6,14
n3323,3,18,16
n4654,1,6,4
n3320,6,24,11
n4651,1,4,22
g2147,4,7,6
n3321,3,4,17
n4652,1,4,22
n4650,1,4,5
n3328,6,19,12
n4659,1,6,14
n3329,6,24,11
n3326,2,5,13
n4657,1,6,14
n3327,4,20,13
n4658,1,6,14
n3324,4,17,13
n4655,1,6,14
n3325,4,15,12
n4656,1,6,14
g2111,4,8,16
g2112,4,8,16
g2110,4,8,16
g2115,4,8,12
n2023,1,1,15
n3355,3,13,12
n4686,1,4,9
g2116,4,8,13
n2022,1,6,3
n3356,6,24,11
n4687,1,4,9
g2113,4,8,16
n2025,1,6,12
n3353,2,7,6
n4684,1,1,12
g2114,4,8,14
n2024,1,1,15
n3354,6,24,11
n4685,1,4,11
g2119,4,7,20
n3351,6,24,2
n4682,1,4,9
n3352,2,12,12
n4683,1,4,7
g2117,4,7,20
n2021,1,2,13
n4680,1,4,11
g2118,4,7,20
n2020,1,2,15
n3350,3,8,13
n4681,1,4,9
n2027,1,6,12
n3359,3,8,14
n2026,1,2,13
n2029,1,6,12
n3357,6,24,4
n4688,1,4,7
n2028,1,2,13
n3358,6,24,30
n4689,1,4,11
g2120,4,6,27
CK,0,0,0
n3344,4,15,14
n4675,1,4,11
n3345,4,13,13
n4676,1,4,9
g2124,4,6,27
n2014,1,6,16
n3342,3,10,31
n4673,1,4,7
n3343,3,5,15
n4674,1,4,7
n3340,4,7,28
n4671,1,4,9
n3341,2,5,14
n4672,1,4,9
g2129,4,7,31
n4670,1,4,11
n2019,1,2,11
n2016,1,6,3
n3348,4,14,13
n4679,1,1,12
n2015,1,3,17
n3349,2,12,5
n2018,1,6,16
n3346,6,24,30
n4677,1,4,9
n2017,1,6,16
n3347,4,15,14
n4678,1,4,7
n3370,2,7,31
g30680,4,17,13
g30681,4,14,3
g30682,4,14,12
g30683,4,14,15
g30684,4,11,10
n2045,1,2,12
n3377,3,10,6
n2044,1,2,11
n3378,5,15,12
n3375,6,23,6
n2046,1,3,18
n3376,4,14,7
n3373,6,24,12
n3374,2,5,8
n2043,1,2,10
n3371,2,12,12
n3372,4,19,12
g28358,4,13,16
n2049,1,6,11
g28357,4,13,16
n2048,1,2,14
n3379,5,15,11
g28354,4,13,14
g30686,4,14,15
g28353,4,13,14
g30687,4,11,13
g28356,4,13,12
g30688,4,11,11
g28355,4,13,12
g30689,4,14,13
g28350,4,13,12
g28352,4,13,16
g28351,4,13,16
n4690,1,4,11
g30670,4,14,14
g2100,4,8,12
g30671,4,14,3
g2101,4,8,13
g30672,4,14,13
g30673,4,11,11
g30674,4,14,11
g2104,4,8,13
n2034,1,3,16
n3366,2,5,13
n4697,1,4,9
g2105,4,4,1
n3367,4,20,13
n4698,1,4,7
g2102,4,8,14
n3364,4,17,13
n4695,1,4,11
g2103,4,8,12
n2035,1,3,17
n3365,4,15,12
n4696,1,4,9
g2108,4,8,16
n2030,1,6,12
n3362,2,2,32
n4693,1,4,7
g2109,4,8,16
n3363,3,18,3
n4694,1,1,12
g2106,4,8,12
n3360,6,24,11
n4691,1,4,11
n3361,3,4,6
n4692,1,4,9
g28368,4,13,12
n3368,6,19,12
n4699,1,1,8
n3369,6,24,11
g30675,4,14,13
g28364,4,13,16
g30676,4,14,2
g28367,4,13,2
g30677,4,17,11
g28366,4,13,14
g30678,4,17,3
g28361,4,13,14
g30679,4,14,13
g28360,4,13,14
g28363,4,13,12
g28362,4,13,12
n3391,2,12,12
n3392,2,7,32
n2060,1,2,14
n3390,6,24,30
n3399,6,24,11
g16399,4,7,15
n3397,6,24,30
n3398,3,8,14
n2063,1,2,14
n3395,6,24,11
n2062,1,2,14
n3396,6,24,30
n3393,6,24,11
g20417,4,10,2
n3394,3,13,12
DFF_1359_n1,4,8,5
g28371,4,13,14
n3380,2,5,14
g30690,4,17,15
n3381,3,10,5
g30691,4,14,11
n2050,1,6,11
g30692,4,17,13
g30693,4,14,10
g30694,4,14,13
g30695,4,17,13
n2056,1,6,11
n3388,2,12,31
n2055,1,6,11
n3389,3,8,13
n2058,1,6,11
n3386,4,15,14
n2057,1,6,11
n3387,4,14,13
n2052,1,6,11
n3384,4,13,13
n2051,1,6,11
n3385,6,24,4
n2054,1,6,11
n3382,3,5,15
n2053,1,6,11
n3383,4,15,14
g30699,4,8,15
DFF_1498_n1,4,8,6
n2081,1,6,11
n2080,1,6,13
n2082,1,2,29
g1680,4,10,9
g1686,4,7,12
n2089,1,2,14
g22218,3,8,16
n2088,1,2,23
n2084,1,2,29
n2086,1,2,29
g1690,4,8,10
g1693,4,8,5
g1694,4,8,7
g1697,4,8,7
n2078,1,6,13
g1698,4,8,9
n2077,1,3,14
g1695,4,8,9
g1696,4,8,5
n2079,1,6,13
g1699,4,8,5
n2076,1,6,13
DFF_1503_n1,4,8,14
g51,0,0,0
g52,4,6,33
g1661,4,8,4
g2990,4,8,19
g56,4,6,21
g1665,4,8,4
g1663,4,8,4
g2993,4,6,12
g1669,4,4,1
g1667,4,8,4
g2997,4,10,17
g22231,3,8,21
g22234,3,8,16
n2092,1,3,12
n2091,1,6,13
g61,4,7,37
g1671,4,8,12
n2090,1,2,29
g65,4,6,18
n2099,1,2,11
g22249,3,8,16
n2096,1,3,12
n2095,1,6,10
n2098,1,6,10
n2097,1,2,11
g22242,3,8,21
g22247,3,8,23
DFF_303_n1,4,8,6
g70,4,7,5
g74,4,2,1
g1642,4,8,11
g2972,4,4,1
g2978,4,4,1
g2975,4,4,1
g1645,4,8,12
g1648,4,8,8
g83,4,6,21
g2981,4,4,1
g88,4,7,26
g1654,4,8,13
g1651,4,8,11
g1657,4,5,2
g2987,4,7,3
g8259,4,8,21
g8258,4,6,20
g92,4,6,21
g97,4,4,4
g2950,4,6,4
g2956,4,4,1
g1624,4,4,1
g2953,4,4,1
n2900,4,20,13
g2959,4,4,1
n2902,3,6,14
g1627,4,8,13
n2901,4,9,14
g8262,4,8,22
n2908,2,9,11
g8261,4,8,21
n2907,4,11,16
g8264,4,8,18
g8263,4,8,7
n2909,2,8,15
n2904,2,8,13
n2903,2,7,13
g8260,4,8,7
n2906,2,8,13
n2905,2,8,13
g8269,4,8,6
g8266,4,8,3
g8265,4,8,18
g8268,4,8,6
g8267,4,6,20
g2963,4,4,1
g2962,4,4,1
g1630,4,8,9
g1636,4,8,12
g1633,4,8,11
g1639,4,8,9
g22200,4,11,33
g2969,4,0,1
g8273,4,8,18
g8272,4,8,22
g8275,4,8,22
g8274,4,8,18
g8271,4,4,1
g8270,4,8,21
n8102,4,6,4
n8103,4,6,4
n8104,4,1,1
DFF_445_n1,4,8,7
g1723,4,8,13
g1724,4,8,12
g25209,4,11,33
g1727,4,8,12
g22178,4,11,7
g25204,4,11,21
n2801,2,6,11
g22177,4,11,33
n2800,2,8,12
g25206,4,11,30
n2803,2,12,9
g25207,4,11,30
n2802,4,8,10
g26532,2,3,26
g25201,3,6,19
g26531,2,3,6
g25202,2,3,24
g22179,4,11,2
g22170,4,11,12
n2809,2,4,30
n2808,3,7,31
g26530,2,3,32
n2805,3,10,9
g22173,4,13,27
n2804,2,9,9
g22172,4,13,33
n2807,4,7,14
g22171,4,11,33
n2806,2,3,30
g1730,4,8,14
g1731,4,8,13
g1734,4,8,14
g25219,4,11,30
g1735,4,8,12
g1732,4,8,14
g1733,4,8,13
g1738,4,8,13
g25215,4,11,3
g26547,4,12,16
g1739,4,8,12
g25217,4,11,7
g25218,4,11,30
g25211,4,11,30
g25212,4,11,30
g25213,4,11,30
g26545,4,12,12
g25214,4,11,27
g22180,4,13,7
g26541,4,12,16
g22185,4,13,33
g22184,4,13,33
g22183,4,11,27
g22182,4,11,33
g1701,4,8,9
g1702,4,8,14
g1700,4,8,7
g1705,4,8,3
n2823,2,12,10
g25227,4,11,3
g26557,4,12,2
n2822,4,8,11
g1703,4,8,14
g25228,4,11,30
n2825,3,10,10
g1704,4,8,14
g25229,4,11,30
g26559,4,12,16
n2824,2,9,10
g25222,4,11,27
g809,4,8,4
g25223,4,11,30
g26553,4,12,14
g25224,4,11,30
n2821,2,6,12
g25225,4,11,30
g22192,4,11,33
g805,4,8,4
g22191,4,11,3
g25220,4,11,30
g25221,4,11,2
n2827,4,7,14
g801,4,8,4
n2826,2,3,30
g22194,4,13,2
n2829,2,4,30
g22193,4,11,33
n2828,3,7,31
g7014,1,4,5
g18942,4,10,2
DFF_1363_n1,4,4,5
g25237,4,11,30
g26569,4,12,3
n2812,4,8,12
n2811,2,6,13
g25239,4,11,30
n2814,2,9,11
n2813,2,12,11
g25233,4,11,30
g25234,4,11,30
g1718,4,8,2
g25235,4,11,2
g25236,4,11,30
g25230,4,11,29
n2819,2,4,30
g25231,4,11,27
g25232,4,11,30
n2816,2,3,30
n2815,3,10,11
n2818,3,7,31
n2817,4,7,14
g820,4,8,31
g22139,4,11,33
n2845,4,11,14
n2844,4,11,15
g22132,4,13,7
n2847,2,9,13
g22131,4,11,7
n2846,5,11,16
g22138,4,11,33
n2841,4,11,14
n2840,4,11,14
n2843,3,7,14
g829,4,8,31
n2842,2,9,13
g22130,4,11,2
n2849,4,11,11
n2848,3,7,10
g822,4,8,31
g821,4,8,31
g22145,4,11,3
n2834,2,9,6
n2833,2,12,6
g22143,4,13,3
n2836,2,3,4
g22142,4,11,33
n2835,3,10,6
g22149,4,11,12
g22148,4,13,33
g819,4,8,31
g22147,4,13,33
n2832,4,8,7
g818,4,4,1
g22146,4,11,33
n2831,2,6,8
g817,4,8,31
g813,4,4,4
g22141,4,11,33
n2838,3,7,5
g22140,4,11,27
n2837,4,7,14
n2839,2,4,4
g842,4,8,31
g841,4,8,31
g840,4,4,1
n2861,5,11,16
n2860,2,4,14
n2867,2,8,13
g22155,4,13,27
n2866,2,5,15
g22154,4,11,33
n2869,2,5,11
g22153,4,11,33
n2868,2,8,13
n2863,3,7,16
n2862,2,9,13
n2865,2,8,13
n2864,4,11,16
g849,4,8,31
g848,4,8,31
g847,4,8,31
g846,4,8,31
g22152,4,13,7
g845,4,8,31
g22151,4,13,7
g844,4,8,31
g22150,4,11,7
g843,4,8,31
g831,4,8,31
g830,4,8,31
DFF_1617_n1,4,8,22
n2850,4,11,14
g26529,2,3,20
g22167,4,11,7
n2856,4,11,15
g22166,4,11,7
n2855,3,7,14
n2858,2,5,15
g22164,4,13,33
n2857,2,8,13
n2852,2,4,14
n2851,5,11,16
g22169,4,13,7
n2854,2,9,13
g22168,4,13,7
n2853,5,11,12
g838,4,8,31
g837,4,8,31
g836,4,8,31
g835,4,8,31
g22163,4,11,33
g834,4,8,31
g18907,4,13,18
g22162,4,11,33
n2859,5,11,12
g833,4,8,31
g18906,4,10,2
g22161,4,11,33
g832,4,8,31
g864,4,8,27
g863,4,8,25
g862,4,8,28
g861,4,8,27
g860,4,8,25
g6573,1,4,7
g30640,4,11,10
g30641,4,14,14
n2881,2,8,13
n2880,4,11,16
n2883,2,7,13
n2882,2,5,15
n2889,2,7,15
n2888,2,5,17
g25288,4,10,15
n2885,2,5,17
n2884,2,8,13
n2887,2,8,13
n2886,4,11,12
g30642,4,14,11
g30643,4,11,15
g30644,4,14,14
g869,4,8,27
g30645,4,14,13
g868,4,8,25
g25280,4,10,14
g30646,4,11,10
g867,4,8,27
g30647,4,14,12
g866,4,8,25
g30648,4,14,11
g865,4,8,28
g30649,4,11,15
g852,4,8,31
g851,4,8,31
g850,4,8,31
n2870,5,11,16
n2872,5,11,17
n2871,2,8,13
g30639,4,14,13
n2878,5,11,17
g28328,2,3,15
n2877,2,5,15
n2879,2,4,14
g28325,2,3,15
n2874,2,5,11
n2873,2,8,13
n2876,2,8,3
n2875,2,8,9
g28321,2,3,15
g859,4,8,28
g857,4,8,25
g30635,4,14,14
g856,4,4,1
g30636,4,11,10
g30637,4,14,3
g30638,4,11,15
g2195,4,8,3
g885,4,8,11
g882,4,4,1
g30660,4,11,3
g30661,4,17,15
g30662,4,14,12
g30663,4,14,13
n1572,1,3,17
g16355,4,5,16
n1574,1,2,2
n1573,1,5,13
n1570,1,2,3
DFF_155_n1,4,8,10
n4606,1,4,11
n1579,1,2,32
n4604,1,4,9
n4605,1,4,11
n1576,1,4,30
n4602,1,4,11
n1575,1,4,10
n1578,1,2,5
n4600,1,4,13
n1577,1,2,6
g30664,4,14,2
g30665,4,14,13
g30666,4,11,11
g30667,4,11,14
g30668,4,14,15
g30669,4,14,10
g888,4,8,13
n4608,1,4,9
g873,4,8,9
g30650,4,14,10
g30651,4,14,14
g30652,4,11,14
n2892,5,8,12
n2891,2,8,15
n2894,3,9,14
n2893,4,15,14
n2890,2,9,15
n1569,1,2,3
n1568,1,2,3
n2899,4,11,13
n1565,1,2,3
n2896,2,5,12
g28346,4,13,16
n2895,2,10,11
g28349,4,13,12
n1567,1,2,3
n2898,6,15,10
g28348,4,13,14
n1566,1,2,3
n2897,3,9,10
g30653,4,14,13
g28342,4,13,2
g30654,4,14,12
g28345,4,13,16
g30655,4,14,11
g28344,4,13,3
g30656,4,14,2
g879,4,8,13
g30657,4,11,10
g30658,4,14,14
g30659,4,11,11
g876,4,8,11
DFF_2_n1,4,6,4
g18957,4,10,2
g2175,4,8,3
n1594,1,2,26
n4620,1,4,5
n1593,1,2,26
n1596,1,2,26
n1595,1,2,26
n1590,1,2,26
g29608,4,9,11
n1592,1,2,26
g29609,4,9,18
n1591,1,2,26
g25248,4,11,29
g29606,4,9,20
n4628,1,4,9
g25249,4,11,30
n4629,1,4,11
n4626,1,4,11
g25244,4,11,30
n1598,1,2,26
n4624,1,4,13
g25245,4,11,30
g26575,4,12,3
n1597,1,2,25
g25246,4,11,30
n4622,1,4,3
g25247,4,11,30
n1599,1,2,23
n4623,1,4,13
g25240,4,11,29
g25241,4,11,27
g25242,4,11,30
g25243,4,11,3
g26573,4,12,2
g2180,4,8,3
g897,4,8,13
g2185,4,8,3
g18968,4,10,2
g894,4,8,11
g891,4,8,9
n1583,1,2,3
n1582,1,0,1
n4610,1,4,7
n1585,1,3,21
n1584,1,2,3
n1581,1,2,10
n1580,1,3,23
g25259,4,11,30
g29617,4,9,7
DFF_131_n1,4,7,17
n4617,1,4,7
g29618,4,9,2
n4618,1,4,7
g29616,4,9,13
n4616,1,4,9
g25255,4,11,30
g29613,4,9,16
n1587,4,1,1
g25256,4,11,30
n1586,1,2,8
n4614,1,4,11
g25257,4,11,30
g29611,4,9,13
n4611,1,4,13
g29612,4,9,11
n4612,1,4,13
g25251,4,11,30
g25252,4,11,30
g25253,4,11,30
g2190,4,8,3
g25250,4,11,30
g2151,4,2,1
g18975,4,10,2
n3311,6,24,15
g6518,4,5,8
n3312,2,12,12
n4643,1,4,7
n4640,1,4,11
n3310,3,8,13
n4641,1,4,9
n3319,3,8,14
n3317,6,24,15
n4648,1,4,9
n3318,6,24,2
n4649,1,4,5
g25266,4,10,15
n3315,3,13,12
n4646,1,4,11
g25267,4,10,14
n3316,6,24,11
g25268,4,10,18
n3313,2,7,17
n4644,1,4,13
g29623,4,9,13
n3314,6,24,11
g25262,4,10,14
g29620,4,9,9
g25263,4,10,18
g29621,4,9,3
g26596,4,12,12
g25265,2,5,11
g25260,4,10,18
g26592,4,12,3
g2160,4,6,27
g2165,4,8,3
n3300,4,10,28
n3301,2,5,14
n4630,1,4,11
n3308,4,14,13
n4639,1,4,11
n3309,2,12,16
n3306,6,24,15
n3307,4,15,14
n4638,1,4,9
n3304,4,15,14
n3305,4,13,13
n4636,1,4,11
g25279,4,10,15
n3302,3,10,16
n4633,1,4,13
n3303,3,5,15
n4634,1,4,13
g2170,4,8,3
g25270,4,10,15
g25271,4,10,14
g25272,4,10,18
g2013,4,7,20
g2010,4,8,12
n3212,3,6,12
n4543,4,8,12
n3213,3,16,11
n4544,5,19,10
n3210,5,8,14
n4541,4,8,10
n3211,2,7,13
n4542,5,19,10
n4540,2,8,14
g21880,4,8,10
n3218,2,10,11
n4549,4,8,2
n3219,2,3,15
n3216,2,3,13
n4547,5,19,10
n3217,2,5,12
n4548,4,8,12
g21882,4,8,10
n3214,4,14,4
n4545,4,8,12
n3215,6,18,10
n4546,5,19,10
g2020,4,6,16
n3201,2,5,13
n4532,2,9,12
n3202,2,10,9
n4533,2,9,12
n4530,1,2,9
g2026,4,7,20
n3200,2,6,11
n4531,2,10,12
n3209,3,7,15
n3207,2,4,14
n4538,2,8,13
n3208,6,15,8
n4539,2,8,9
n3205,2,6,15
n4536,2,10,6
n3206,3,9,11
n4537,2,10,11
n3203,2,3,13
n4534,2,9,12
n3204,2,9,11
n4535,2,10,10
n3234,3,7,15
n4565,4,8,3
n3235,5,8,14
n4566,6,18,7
n3232,2,10,13
n4563,4,8,3
n3233,6,15,12
n4564,6,18,8
n3230,2,6,15
n4561,4,8,4
n3231,2,5,13
n4562,6,21,7
n4560,6,21,7
n3238,3,16,11
n4569,4,8,4
n3239,4,14,5
n3236,2,7,13
n4567,4,8,4
n3237,3,6,12
n4568,6,18,8
g2000,4,8,14
n3223,5,8,13
n4554,6,21,7
n3224,2,7,12
n4555,4,8,3
n3221,6,15,10
n4552,1,3,2
n3222,3,7,14
n4553,4,14,26
g2009,4,8,10
n4550,5,17,9
n3220,2,9,13
n4551,1,3,2
n3229,6,21,9
n3227,6,21,9
n4558,6,18,7
n3228,4,14,5
n4559,4,8,4
n3225,3,6,11
n4556,6,21,7
n3226,3,16,10
n4557,4,8,3
n4580,5,16,15
n3256,5,15,14
n4587,1,4,9
g21845,4,10,14
n3257,5,15,11
g21842,4,10,14
n3254,4,14,33
n4585,1,0,1
g16496,3,12,2
g21843,4,10,14
n3255,3,10,32
n4586,1,1,2
n3252,2,10,33
n4583,4,8,13
n3253,6,23,32
n4584,5,14,10
n3250,4,10,28
n4581,4,8,10
g21847,4,10,14
n4582,5,16,5
n3258,4,7,28
n4589,1,4,9
n3259,4,10,28
n3245,2,6,10
n4576,6,18,8
n3246,2,6,17
n4577,4,6,4
n3243,2,6,16
n4574,6,18,8
n3244,2,6,30
n4575,6,21,7
n3241,2,6,18
n4572,2,5,12
n3242,2,6,17
n4573,6,21,7
n4570,4,8,11
n3240,6,18,10
n4571,4,8,7
g21851,4,14,11
n3249,4,7,28
n3247,2,6,4
n4578,4,6,12
n3248,4,8,28
n4579,4,8,17
g30796,4,12,16
g30798,4,12,12
n3270,6,24,30
n3271,2,12,12
test_si1,0,0,0
test_si2,0,0,0
g1582,4,8,12
n3278,3,8,14
g1588,4,8,11
n3279,6,24,11
g1585,4,8,8
n3276,6,24,30
n3277,6,24,2
n3274,3,13,12
n3275,6,24,11
n3272,2,7,32
n3273,6,24,11
test_si5,0,0,0
test_si6,0,0,0
test_si3,0,0,0
test_si4,0,0,0
test_si9,0,0,0
test_si7,0,0,0
test_si8,0,0,0
g1591,4,8,13
n3260,2,5,14
n4591,1,4,9
g1594,4,8,9
n3267,4,14,13
n4598,1,4,7
g21878,4,8,6
n3268,2,12,31
n4599,1,4,13
n3265,6,24,30
n4596,1,4,4
g1597,4,8,11
n3266,4,15,14
n4597,1,4,7
n3263,4,15,14
n3264,4,13,13
n4595,1,4,4
n3261,3,10,31
n4592,1,4,7
n3262,3,5,15
n4593,1,4,9
n3269,3,8,13
n3292,6,24,12
n3293,2,5,19
n3290,2,12,12
n3291,4,19,12
g1561,4,8,28
g2892,4,6,19
g1562,4,8,8
g1560,4,8,28
g2896,4,7,15
g21009,4,11,15
g1563,4,4,1
g21006,4,11,2
n3298,5,15,11
g21007,4,8,16
n3299,4,7,28
n3296,3,10,17
n3297,5,15,14
g1567,4,8,8
n3294,6,23,17
n3295,4,14,18
g21000,4,11,14
g21001,4,11,3
g21004,4,11,15
g21005,4,11,14
g21002,4,8,18
g21003,4,8,18
n3281,2,2,4
n3282,3,18,31
n3280,3,4,32
g1573,4,8,12
DFF_803_n1,4,8,4
g1570,4,8,11
g1576,4,8,9
g21019,4,11,2
n3289,2,7,3
g21017,4,11,16
n3287,6,19,12
g21018,4,8,18
n3288,6,24,11
n3285,2,5,13
n3286,4,20,13
n3283,4,17,13
g1579,4,8,11
n3284,4,15,12
g21011,4,11,16
g21010,4,11,14
g21015,4,11,2
DFF_798_n1,4,8,7
g21016,4,11,14
DFF_1142_n1,4,7,15
g1540,4,8,5
g1543,4,8,5
g2874,4,4,1
g1544,4,8,5
g2873,4,4,1
g1541,4,8,5
g21028,4,8,18
g1542,4,8,5
g21029,4,8,18
g2879,4,7,4
g1547,4,5,10
g2878,4,8,11
g2877,4,8,11
g1545,4,8,5
g1546,4,8,5
g21022,4,8,18
g21023,4,8,18
g21020,4,11,14
g21021,4,11,16
g21026,4,11,3
g21027,4,11,16
g21025,4,11,15
DFF_149_n1,4,8,25
g1550,4,8,28
g1551,4,8,28
g1554,4,8,28
g1555,4,8,28
g1552,4,8,28
g21039,4,11,15
g2883,4,6,10
g1558,4,8,28
g1559,4,8,28
g2888,4,6,14
g1556,4,8,28
g1557,4,4,1
g21033,4,11,15
g21034,4,11,14
g21031,4,11,15
g21032,4,11,14
g21035,4,11,16
g1520,4,5,6
g2857,4,8,9
g1525,4,8,5
g1526,4,8,5
g1523,4,8,5
g1524,4,8,5
g1529,4,8,5
g1527,4,8,5
g1528,4,8,5
DFF_1003_n1,4,8,5
g8167,4,8,7
g1532,4,8,5
g1533,4,8,5
g1530,4,8,5
g1531,4,8,5
g1536,4,8,5
g1534,4,8,5
g1535,4,4,1
g1538,4,8,5
g1539,4,8,5
g8175,4,8,3
g1501,4,8,3
g1506,4,8,3
g1511,4,8,5
g1514,4,8,5
g1512,4,8,5
g1513,4,8,5
g1516,4,4,1
DFF_649_n1,4,8,6
Tj_OUT1234,4,8,15
g2934,4,4,1
g1603,4,8,8
g1600,4,8,12
g2938,4,4,1
g22299,3,8,15
g26659,4,10,11
g2935,4,4,1
g909,4,8,9
g26655,4,10,33
g906,4,8,13
g1609,4,4,1
DFF_1145_n1,4,8,6
g903,4,8,11
g900,4,8,8
g8249,4,8,2
test_si96,0,0,0
g2941,4,4,1
test_si97,0,0,0
test_si98,0,0,0
test_si99,0,0,0
g2944,4,4,1
g1612,4,8,8
g1618,4,8,13
g26667,4,10,16
g2947,4,4,1
g1615,4,8,11
g26669,4,10,14
g26664,4,10,14
g26666,3,6,19
g26665,4,10,12
g8251,4,8,3
g26660,3,6,19
g26661,4,10,33
n8003,4,8,3
n8004,4,8,7
n8005,4,8,7
n8006,4,8,7
n8007,4,8,7
n8008,4,8,7
n8009,4,8,17
g2912,4,6,39
g30705,4,8,13
n2702,2,4,18
g30706,4,8,7
n2701,2,7,12
g30707,4,8,15
n2704,3,10,15
g30708,4,8,9
n2703,2,9,15
g26675,4,10,3
g30709,4,8,11
g26677,3,6,19
n2700,3,7,13
g2917,4,6,20
g26676,4,10,11
g927,4,8,9
g26671,3,6,19
g26670,4,10,2
n2709,2,5,15
g26672,4,10,33
g30700,4,8,11
g30701,4,8,15
n2706,3,5,14
g30702,4,8,2
n2705,2,4,17
g921,4,8,10
g30703,4,8,11
n2708,6,15,12
g30704,4,8,11
n2707,2,8,13
g2920,4,6,34
g2924,4,7,10
g918,4,8,9
g915,4,8,12
g912,4,8,10
n8024,4,8,6
n8025,4,8,6
n8026,4,8,6
n8027,4,8,6
test_si63,0,0,0
test_si64,0,0,0
test_si65,0,0,0
DFF_653_n1,4,8,6
test_si66,0,0,0
test_si67,0,0,0
n8020,4,8,6
test_si68,0,0,0
g26616,4,12,14
n8021,4,8,2
test_si69,0,0,0
n2724,2,3,13
n2723,2,3,14
n2726,2,8,3
n2725,1,2,14
test_si70,0,0,0
DFF_134_n1,4,9,28
n2720,2,2,13
test_si71,0,0,0
test_si72,0,0,0
n2722,3,8,16
test_si73,0,0,0
n2721,2,8,13
g948,4,4,1
n2728,2,5,15
n2727,6,15,2
g942,4,8,13
n2729,2,3,9
g930,4,8,10
DFF_146_n1,4,5,18
n8017,4,8,13
n8018,4,8,3
n8019,4,8,6
test_si52,0,0,0
test_si53,0,0,0
test_si54,0,0,0
test_si55,0,0,0
test_si56,0,0,0
test_si57,0,0,0
g2900,4,6,21
test_si58,0,0,0
test_si59,0,0,0
n2713,5,13,18
n2712,5,13,19
g2903,4,7,20
n2715,2,8,13
g22263,3,8,23
n2714,6,18,10
test_si60,0,0,0
g2908,4,6,25
g22269,3,8,16
test_si61,0,0,0
n2711,5,10,19
test_si62,0,0,0
g939,4,8,11
g22267,3,8,22
n2710,2,3,13
g936,4,8,9
n2717,2,5,17
g933,4,8,12
n2716,2,4,17
n2719,2,7,13
n2718,3,7,16
g963,4,5,6
n8046,4,8,7
n8047,4,8,6
g960,4,8,12
test_si85,0,0,0
test_si86,0,0,0
test_si87,0,0,0
n2740,2,3,9
n8040,4,8,12
test_si88,0,0,0
test_si89,0,0,0
n8043,4,8,7
n8044,4,8,3
n8045,4,8,7
n2746,5,10,18
n2745,2,2,13
test_si90,0,0,0
n2748,2,4,11
test_si91,0,0,0
n2747,5,13,19
test_si92,0,0,0
n2742,2,8,12
test_si93,0,0,0
n2741,1,2,10
test_si94,0,0,0
n2744,2,5,14
test_si95,0,0,0
DFF_1133_n1,4,8,17
n2743,6,18,11
g969,4,8,5
g967,4,8,5
n2749,2,8,9
g951,4,8,13
g6485,1,4,9
test_si74,0,0,0
test_si75,0,0,0
test_si76,0,0,0
test_si77,0,0,0
test_si78,0,0,0
test_si79,0,0,0
n2735,2,8,13
n2734,2,8,13
n2737,2,8,13
test_si80,0,0,0
n2736,3,7,14
test_si81,0,0,0
n2731,5,13,18
test_si82,0,0,0
n2730,5,10,19
test_si83,0,0,0
n2733,2,4,15
test_si84,0,0,0
n2732,5,13,19
g22280,3,8,22
g957,4,8,10
g22284,3,8,15
n2739,2,3,10
n2738,3,8,16
g954,4,8,9
test_si27,0,0,0
g2096,4,8,14
test_si28,0,0,0
g2097,4,8,12
test_si29,0,0,0
g2094,4,8,12
g2095,4,8,13
g2098,4,8,13
g2099,4,8,14
n2760,2,5,15
n8060,4,8,6
test_si20,0,0,0
n8061,4,8,6
test_si21,0,0,0
n2762,5,10,19
n8062,4,8,2
test_si22,0,0,0
n2761,2,2,15
test_si23,0,0,0
test_si24,0,0,0
n8065,4,8,6
test_si25,0,0,0
n8066,4,8,5
test_si26,0,0,0
n2768,3,8,16
n2767,2,8,13
n2769,2,3,16
n2764,2,8,12
n2763,2,9,12
n2766,3,7,14
n2765,2,8,3
g24072,4,10,4
g986,4,10,11
test_si16,0,0,0
n8057,4,8,11
test_si17,0,0,0
g973,4,8,5
n8058,4,8,6
test_si18,0,0,0
n8059,4,8,6
test_si19,0,0,0
g971,4,4,1
test_si10,0,0,0
n2751,3,7,10
test_si11,0,0,0
n2750,2,8,13
test_si12,0,0,0
test_si13,0,0,0
test_si14,0,0,0
n8055,4,8,15
test_si15,0,0,0
n8056,4,10,13
n2757,2,4,12
n2756,2,2,13
n2759,6,15,12
n2758,2,8,13
n2753,3,9,15
n2752,2,8,12
n2755,2,4,14
n2754,2,2,11
g977,4,8,2
DFF_1612_n1,4,8,2
g24083,4,10,13
g975,4,8,5
test_si49,0,0,0
g2072,4,2,16
g2078,4,8,14
g2079,4,8,12
test_si41,0,0,0
n2782,2,2,11
n8082,4,8,16
test_si42,0,0,0
n2781,2,4,14
n8083,4,5,11
test_si43,0,0,0
n2784,3,5,12
n8084,4,1,4
test_si44,0,0,0
n2783,3,13,13
test_si45,0,0,0
n8086,4,8,25
test_si46,0,0,0
test_so100,0,0,0
n8087,4,8,17
test_si47,0,0,0
n2780,3,5,31
n8088,4,9,28
test_si48,0,0,0
n8089,4,9,24
g27129,3,5,11
n2789,2,5,29
n2786,3,7,15
n2785,4,13,16
n8090,4,7,17
test_si50,0,0,0
n2788,2,3,32
