Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI,inFF1,inFF2
n3073,2,7,1,2,13,1,2
n3070,2,8,5,5,13,2,2
n3071,2,8,3,6,11,2,2
n3078,2,8,5,5,13,2,2
g3961,4,10,5,7,10,1,3
g1300,4,8,8,19,12,1,2
n3079,3,8,4,11,12,1,2
n3076,4,7,1,2,14,0,3
g1306,4,8,2,8,10,1,1
n3077,3,9,1,1,13,1,4
n3074,2,3,3,5,10,0,1
g3965,4,10,5,7,9,1,3
n3075,3,6,2,3,47,1,2
g2638,4,8,5,9,22,1,3
n3061,2,6,1,2,14,1,1
n4392,3,10,2,2,25,2,4
n3062,2,6,1,2,12,1,2
n4393,5,15,1,1,19,1,5
n4390,3,6,1,1,27,1,0
n3060,2,5,2,10,35,1,1
n4391,2,4,1,1,26,0,2
g1312,4,6,2,7,46,1,2
n3069,2,7,5,13,9,1,1
g2643,4,10,5,7,10,1,3
n3067,4,8,1,2,12,0,4
n4398,3,12,1,1,4,3,2
n3068,3,7,1,1,11,1,3
n4399,2,6,1,6,20,2,2
g2648,4,8,4,9,12,1,3
n3065,3,7,1,1,7,1,2
n4396,2,6,1,1,12,0,6
n3066,3,4,2,3,47,1,1
n4397,3,12,1,1,11,3,2
n3063,2,5,2,2,20,1,1
n4394,5,13,1,1,22,2,4
n3064,2,4,1,1,8,0,1
n4395,4,12,1,1,23,2,2
n3094,2,5,3,4,37,1,1
n3095,2,5,1,1,11,1,1
n3092,2,7,1,2,13,1,2
n3093,2,2,3,5,14,0,0
n3090,2,8,3,6,15,2,2
n3091,2,4,4,7,10,0,1
g2610,4,9,10,18,14,1,5
g3941,4,10,4,9,10,1,3
n3098,2,3,16,32,5,1,0
g3945,4,10,5,7,10,1,4
n3099,3,9,1,2,22,0,2
n3096,2,3,1,1,15,0,2
n3097,2,6,1,1,14,2,1
g2619,4,9,5,15,20,1,4
n3083,2,2,3,6,14,0,0
n3084,2,5,2,8,45,1,2
n3081,2,4,4,8,10,0,1
n3082,2,7,1,2,13,1,2
n3080,2,8,3,6,11,2,2
g3953,4,6,5,11,1,0,3
n3089,2,8,5,5,13,2,2
g3957,4,6,5,13,1,0,3
n3087,5,12,1,1,13,1,6
n3088,3,8,4,11,12,1,2
n3085,2,8,1,2,48,0,2
n3086,3,6,2,2,47,1,2
g2629,4,10,7,14,37,1,2
g11418,4,8,7,17,27,1,4
g6199,4,8,3,6,3,1,2
g3921,4,10,4,7,10,1,4
g3925,4,10,4,7,10,1,4
g3929,4,10,5,7,10,1,4
g3933,4,10,4,7,10,1,5
g2606,4,9,4,14,7,1,3
g3937,4,10,5,10,10,1,4
DFF_672_n1,4,6,1,5,4,2,1
g6299,4,10,4,8,10,1,4
g34040,6,16,2,9,13,2,1
g34041,4,8,2,8,8,1,3
g34035,2,6,2,7,7,1,1
g34036,2,6,2,8,7,1,1
g34033,4,8,2,8,3,1,3
g34034,2,6,2,6,7,1,1
g34039,6,16,2,9,13,3,3
g34037,6,13,2,11,18,2,2
g34038,6,14,2,7,15,2,3
g34031,6,16,2,9,23,3,3
g34032,6,16,2,8,3,2,2
g34030,6,14,2,7,19,2,3
g2704,4,10,5,14,3,1,2
g6279,4,10,4,6,10,1,4
g6275,4,10,4,7,10,1,4
g6283,4,6,5,7,1,0,3
g6287,4,6,5,11,1,0,3
g6295,4,10,5,9,10,1,4
g6291,4,10,5,8,10,1,5
g34002,4,10,2,4,9,1,2
g34003,4,10,2,4,9,1,2
g34000,6,13,1,5,12,2,2
g34001,4,10,2,4,10,1,2
g6259,4,10,4,7,26,1,3
g34006,6,15,1,4,9,2,2
g34007,6,13,2,6,12,2,2
g34004,4,10,2,4,9,1,2
g6255,4,10,4,9,14,1,4
g34005,4,10,2,4,9,1,2
g34008,4,10,2,5,10,1,2
g34009,4,10,2,5,9,1,2
g6267,4,10,4,9,10,1,5
g6263,4,10,5,5,10,1,4
g6271,4,10,5,11,10,1,4
g11388,4,8,8,18,18,1,4
g34024,3,10,1,3,5,1,1
g34025,2,6,3,9,8,1,1
g6235,4,10,5,8,14,1,4
g34022,5,14,1,6,15,2,4
g34023,2,6,2,3,7,0,1
g34028,2,6,1,2,9,1,1
g34029,6,13,2,10,28,2,3
g34026,2,6,2,6,7,1,1
g34027,2,6,1,7,7,1,1
g34020,6,15,1,5,9,2,2
g6239,4,10,4,10,14,1,4
g34021,6,13,1,5,26,2,2
g34013,6,15,1,4,9,2,2
g34014,6,13,1,5,12,2,2
g6247,4,10,4,7,14,1,5
g34011,4,10,2,5,9,1,2
g34012,4,10,2,5,9,1,2
g34017,4,10,2,3,9,1,2
g34018,4,10,2,3,9,1,2
g34015,4,10,2,5,10,1,2
g6243,4,10,5,9,14,1,3
g34016,4,10,2,5,9,1,2
g34010,4,10,2,4,9,1,2
g34019,4,10,2,5,9,1,2
g6251,4,10,4,9,24,1,3
g6215,4,8,4,15,12,1,2
g7540,4,8,4,9,10,1,3
g8870,4,8,5,16,8,2,3
g30520,6,14,1,5,9,2,3
g6219,4,8,6,21,20,1,3
g30529,6,15,1,5,9,3,2
g30521,6,12,1,3,8,2,2
g30522,2,7,2,7,7,1,2
g30523,6,14,1,5,13,3,3
g30524,6,14,1,4,13,3,3
g30525,6,14,1,4,13,3,3
g30526,6,14,1,4,13,3,3
g30527,6,15,1,5,9,3,2
g30528,6,15,1,4,9,3,2
g18881,0,0,0,0,0,0,0
g6227,4,8,4,17,22,1,2
g30518,6,14,1,4,13,2,2
g30519,6,14,1,4,7,2,3
g30510,6,15,1,5,9,3,2
g30511,6,15,1,4,9,3,2
g30512,6,15,1,5,9,3,1
g30513,6,15,1,4,9,3,2
g30514,6,15,1,5,9,3,1
g30515,6,15,1,4,9,3,2
g30516,6,15,1,5,9,3,2
g30517,6,15,1,4,9,3,2
g31870,6,14,2,5,35,3,6
g30540,6,14,1,4,23,2,3
g31871,6,15,1,6,57,3,3
g30541,6,14,1,4,25,2,3
g31872,4,12,2,9,16,2,3
g30542,6,12,1,4,8,2,1
g30543,2,7,2,8,27,1,2
g30544,6,14,1,4,13,3,2
g30545,6,14,1,3,13,3,3
g30546,6,14,1,4,13,3,3
g30547,6,14,1,5,13,3,3
g30548,6,15,1,4,9,3,1
g30549,6,15,1,4,9,3,2
g6203,4,6,4,17,10,1,2
g31860,1,2,3,4,14,0,2
g31861,0,0,0,0,0,0,0
g30530,6,15,1,4,9,3,2
g17577,4,4,7,16,1,1,2
g31862,1,2,3,5,16,0,2
g30531,6,15,1,4,9,3,2
g6209,4,8,6,29,10,1,2
g31863,1,2,1,2,16,0,2
g30532,6,15,1,5,9,3,1
g30533,6,15,1,5,9,3,1
g31864,6,15,2,6,22,2,4
g30534,6,15,1,5,9,3,2
g31865,4,11,1,4,22,1,4
g31866,6,15,2,6,14,4,4
g30535,6,15,1,5,9,3,2
g31867,6,15,2,5,32,4,5
g30536,6,15,1,4,9,3,1
g31868,6,14,2,5,29,3,6
g30537,6,15,1,4,9,3,1
g31869,6,15,1,6,6,3,3
g30538,6,15,1,4,9,3,1
g30539,6,14,1,5,13,2,3
g8839,4,8,4,11,10,1,2
Tj_TriggerIN10,4,10,1,1,17,1,3
g17519,4,8,7,17,24,2,4
n5611,4,10,2,3,8,1,2
n5610,4,10,2,3,23,1,3
DFF_1322_n1,4,8,1,1,5,1,1
g30507,6,15,1,4,9,3,1
n5619,4,9,2,2,18,1,3
g30508,6,15,1,5,9,3,0
n5618,4,8,2,7,39,1,3
g30509,6,15,1,5,9,3,2
n5617,4,8,2,8,44,1,4
n5616,4,8,2,9,37,2,2
n5615,4,6,2,3,4,0,1
n5614,4,8,2,2,10,1,2
n5613,4,4,2,2,10,0,1
n5612,4,10,2,3,32,1,4
g30500,6,12,1,4,8,2,2
g30501,2,7,2,8,7,1,2
g30502,6,14,1,4,13,3,3
g30503,6,14,1,4,13,3,2
g30504,6,14,1,4,13,3,2
g30505,6,14,2,6,13,3,3
g30506,6,15,1,3,9,3,2
n5600,4,9,2,11,13,1,3
n5608,4,10,2,2,36,1,5
n5607,4,9,2,3,20,1,2
n5606,4,8,2,2,16,1,3
n5605,4,8,2,3,22,1,2
n5604,4,10,2,6,12,1,3
n5603,4,8,2,13,8,1,1
n5602,4,9,2,4,22,1,3
n5601,4,10,2,3,38,1,2
n5609,4,10,2,3,23,1,3
n3333,3,8,6,6,9,0,1
n4664,3,9,1,1,13,2,3
n5996,4,8,1,1,4,1,2
n3334,5,20,1,1,4,2,7
n4665,3,9,1,1,11,2,3
n5995,2,8,1,1,3,2,2
n3331,4,12,1,6,5,0,4
n4662,4,16,1,1,11,4,5
n5994,4,8,1,1,20,1,2
n3332,5,15,1,6,16,2,4
n4663,3,9,1,1,33,2,3
n5993,2,8,1,1,19,2,3
n4660,4,12,1,1,7,0,12
n5992,4,8,1,1,20,1,2
n3330,6,20,1,6,9,3,5
n4661,4,16,1,1,6,4,5
n5991,2,8,1,1,19,2,3
n5990,4,4,1,1,17,0,1
n3339,6,21,1,1,8,3,6
n3337,3,9,3,7,14,1,5
n4668,3,9,1,1,13,2,3
n2004,1,2,1,2,12,0,2
n3338,3,9,2,7,14,1,5
n4669,2,6,1,1,22,0,2
n5999,2,5,1,2,23,1,1
n3335,5,19,1,1,8,2,6
n4666,3,9,1,1,11,2,3
n5998,4,8,1,1,16,1,2
n3336,6,15,1,1,9,3,1
n4667,3,9,1,1,13,2,3
n5997,2,8,1,1,15,2,3
g6500,4,10,3,9,12,1,3
n3322,4,12,1,4,9,2,2
n4653,4,16,1,1,6,4,6
n5985,2,8,1,1,19,2,3
n3323,6,20,1,4,9,3,5
n4654,4,12,1,1,5,1,9
n5984,2,5,1,1,3,0,2
n3320,2,3,7,7,8,0,0
n4651,5,16,1,1,7,0,13
n5983,4,10,3,4,3,1,3
g6509,4,9,4,10,8,1,2
n3321,2,2,8,8,2,0,0
n4652,4,16,1,1,6,4,5
n5982,2,5,1,1,3,0,2
n5981,4,6,3,4,3,0,2
n4650,5,16,1,1,7,1,9
n5980,3,6,1,1,2,1,1
g6505,4,8,5,11,5,1,3
n3328,6,21,1,1,8,3,6
n4659,2,5,1,1,13,1,0
n3329,4,12,1,6,9,2,2
n3326,5,16,1,1,16,2,5
n4657,4,16,1,1,6,4,6
n5989,2,8,1,1,16,2,3
n3327,6,18,1,1,8,3,5
n4658,2,8,3,5,11,2,2
n5988,4,8,1,1,27,1,2
n3324,4,13,1,4,17,0,5
n4655,2,5,1,1,13,1,1
n5987,2,8,1,1,26,2,3
n3325,6,17,1,4,9,2,3
n4656,4,16,1,1,40,4,5
n5986,4,8,1,1,20,1,2
g12832,4,7,2,5,13,1,2
n3355,4,14,1,7,4,2,4
n4686,4,12,1,1,36,2,6
n3356,5,12,1,7,6,0,2
n4687,2,8,3,5,15,2,2
n3353,4,12,1,7,3,2,2
n4684,2,6,1,1,16,0,2
n3354,6,19,1,7,15,3,3
n4685,5,14,1,1,15,2,4
n3351,6,19,1,1,8,3,5
n4682,2,8,3,5,11,2,2
n3352,3,9,6,12,7,1,5
n4683,3,7,1,2,17,1,1
n4680,5,14,1,1,15,2,4
n3350,4,16,3,3,13,3,7
n4681,4,12,1,1,31,2,6
n3359,6,19,1,1,8,3,6
n3357,2,11,1,1,5,0,5
n4688,3,7,1,2,17,2,1
n3358,5,19,1,1,8,2,6
n4689,2,6,1,1,16,0,2
g12833,1,0,0,0,1,0,0
CK,0,0,1946,6872,0,0,0
n3344,2,4,5,8,8,0,1
n4675,5,14,1,1,15,2,4
n2011,1,2,1,2,20,0,2
n3345,3,6,5,8,14,1,4
n4676,4,12,1,1,40,2,6
n3342,4,9,1,5,9,0,2
n4673,3,7,1,2,17,1,1
n3343,5,15,1,5,16,2,4
n4674,2,7,1,1,16,0,3
n3340,4,12,1,5,9,2,2
n4671,2,6,1,1,22,0,2
n3341,6,20,1,5,9,3,5
n4672,3,12,2,4,43,3,2
n4670,3,12,2,4,14,3,2
n3348,5,18,1,1,13,2,6
n4679,2,6,1,1,16,0,2
n3349,6,17,1,1,12,3,4
n3346,5,19,1,1,8,2,6
n4677,2,8,3,5,11,2,2
n3347,2,11,1,1,14,0,5
n4678,3,7,1,2,17,1,1
n3370,5,19,1,1,8,2,6
n3377,5,19,1,1,12,2,6
n3378,2,12,1,1,4,0,4
n3375,4,12,1,7,9,2,1
n3376,5,12,1,7,5,0,2
n3373,4,12,1,7,3,2,2
n3374,6,19,1,7,15,3,3
n3371,6,19,1,1,16,3,5
n2042,1,2,1,2,12,0,2
n3372,6,19,1,1,8,3,6
n2049,1,3,2,2,12,0,2
n2048,1,2,3,5,17,0,2
n3379,6,19,1,1,4,3,4
n2034,1,2,2,6,41,0,2
n3366,6,19,1,4,11,3,4
n4697,3,8,1,5,11,1,2
n3367,4,12,1,4,9,2,2
n4698,2,6,4,13,6,0,6
n3364,2,3,4,4,8,0,0
n4695,5,14,1,1,15,2,4
n2035,1,2,2,5,41,0,2
n3365,4,12,1,4,3,2,2
n4696,4,12,1,1,13,2,6
n3362,2,8,2,5,6,2,2
n4693,3,7,1,2,17,1,1
n3363,2,4,4,4,8,0,1
n4694,2,7,1,1,16,0,3
n3360,5,18,1,1,4,2,7
n4691,4,12,1,1,2,2,5
n3361,6,15,1,1,4,3,3
n4692,2,6,4,13,11,0,6
n3368,5,15,1,4,23,0,4
n4699,3,7,1,2,17,1,1
n3369,5,19,1,1,22,2,6
n3391,3,11,2,9,13,2,5
n3392,4,15,2,11,6,3,6
n3390,6,15,1,1,19,3,3
n3399,2,3,3,7,7,1,1
n3397,3,12,3,3,6,3,3
n3398,5,10,1,2,15,1,3
n2063,1,2,1,2,12,0,2
n3395,2,8,1,4,12,2,2
n3396,3,12,4,16,12,3,3
g19,4,8,6,24,5,1,2
n3393,3,9,1,1,5,1,3
n3394,2,8,4,8,6,2,2
n3380,6,9,1,1,3,1,1
n3381,2,8,7,43,6,2,2
g22,4,5,11,4,6,1,1
n3386,4,12,1,6,9,2,2
g25,4,8,4,8,11,2,4
n3387,5,15,1,6,4,0,3
g28,4,8,5,22,5,1,1
n3384,4,12,1,6,3,2,2
n3385,6,19,1,6,15,3,3
n3382,4,14,4,19,12,4,5
n3383,6,19,1,1,8,3,6
g34201,3,7,0,0,21,0,0
g1682,4,10,4,6,10,1,3
g31,4,8,5,7,5,1,2
g35,0,0,3,4,0,0,0
g1687,4,8,5,8,12,1,3
g37,4,7,4,16,16,1,2
g36,0,0,1,1,0,0,0
n2072,1,2,3,4,16,0,2
g44,0,0,1,3,0,0,0
g1691,4,8,5,12,17,1,3
g43,4,5,2,9,26,1,1
n2077,1,2,2,4,18,0,2
g1696,4,8,2,8,11,1,1
n2076,1,2,5,21,16,1,1
n2075,1,3,5,8,14,0,3
g34221,2,5,0,0,26,0,0
g53,0,0,1,3,0,0,0
g55,4,5,3,14,5,1,1
g54,0,0,1,2,0,0,0
g57,0,0,1,1,0,0,0
g1664,4,9,4,10,7,1,2
g56,0,0,1,1,0,0,0
g2994,4,10,4,10,3,1,3
g1668,4,10,8,14,14,1,3
g2999,4,9,5,8,16,1,3
g64,0,0,1,1,0,0,0
g63,4,6,3,14,26,1,1
g1677,4,8,6,13,15,1,2
g71,4,8,2,7,13,1,1
g73,0,0,2,10,0,0,0
g72,0,0,3,15,0,0,0
g2970,4,10,5,9,3,1,3
g2975,4,3,4,8,7,0,1
g84,0,0,1,3,0,0,0
g2984,4,2,3,8,4,0,0
g1657,4,9,4,10,13,1,3
g2988,4,10,5,9,12,1,3
g91,0,0,1,3,0,0,0
g90,0,0,1,1,0,0,0
g92,0,0,1,1,0,0,0
g99,0,0,1,1,0,0,0
g1620,4,8,3,3,10,1,1
g2950,4,10,5,11,3,1,3
g1624,4,9,4,15,12,1,3
g2955,4,7,5,6,3,1,2
g1632,4,8,4,11,12,1,3
g1636,4,10,5,10,10,1,3
g2965,4,8,6,13,5,1,1
DFF_961_n1,4,4,1,4,11,1,1
g1720,4,8,2,8,23,1,3
g1728,4,7,6,14,10,1,1
g1736,4,8,3,7,11,1,2
g17604,4,8,6,16,27,2,3
g1700,4,8,3,9,13,1,1
g17607,4,8,7,22,8,2,4
g1710,4,5,3,7,19,0,2
g31904,5,10,1,8,15,1,2
g1714,4,8,3,9,21,1,2
g31900,4,9,2,8,21,1,1
g31901,5,9,2,8,19,1,1
g31902,6,14,2,7,37,1,7
g31903,5,10,2,8,19,1,2
g5297,4,8,3,13,10,1,3
g6597,4,10,5,6,14,1,2
g5268,4,10,5,7,10,1,4
g6593,4,10,4,5,14,1,4
g5264,4,10,5,10,10,1,4
g5272,4,10,5,11,9,1,3
g5244,4,10,4,10,10,1,4
g5240,4,6,5,12,1,0,3
g6573,4,8,4,18,12,1,2
g5248,4,10,5,6,10,1,3
n5916,1,0,1,1,1,0,0
n5914,1,0,1,1,1,0,0
n5912,1,0,1,1,1,0,0
n5910,1,0,1,1,1,0,0
g6581,4,6,4,8,1,0,3
n5918,1,0,1,1,1,0,0
g5256,4,10,5,12,10,1,3
g6589,4,10,5,7,14,1,3
g17678,4,8,5,14,31,2,3
g5252,4,10,4,8,10,1,4
g17674,4,8,7,16,23,2,3
n5904,1,0,1,1,1,0,0
n5902,1,0,1,0,1,0,0
n5900,1,0,1,0,1,0,0
g5260,4,10,5,9,10,1,4
n5908,1,0,1,1,1,0,0
n5906,1,0,1,1,1,0,0
g6555,4,8,6,28,10,1,2
g5224,4,10,5,8,10,1,4
g17688,4,8,6,16,31,2,3
g5220,4,10,5,10,41,1,3
n5930,1,0,1,1,1,0,0
g17685,4,8,6,16,3,2,3
n4606,4,16,1,1,15,4,3
n5938,1,0,1,1,1,0,0
n4607,4,16,1,1,2,4,5
n4604,5,16,1,1,16,1,9
n5936,1,0,1,1,1,0,0
n4605,5,16,1,1,16,0,13
n4602,3,9,1,2,33,0,6
n5934,1,0,1,1,1,0,0
n4603,4,18,1,2,17,2,3
n4600,2,8,2,3,7,2,2
n5932,1,0,1,1,1,0,0
n4601,3,9,1,2,12,0,6
n4608,4,12,1,1,3,1,9
n4609,2,5,1,1,13,1,1
g6565,4,8,5,19,10,1,4
g5236,4,10,5,7,10,1,4
g6561,4,8,5,16,12,1,2
g5232,4,10,5,11,10,1,4
n5926,1,0,3,2,1,0,0
n5924,1,0,1,1,1,0,0
n5922,1,0,1,1,1,0,0
n5920,1,0,1,1,1,0,0
n5928,1,0,3,2,1,0,0
g5200,4,10,4,10,5,1,4
g6533,4,8,2,8,42,1,3
g5208,4,10,4,9,5,1,4
n4620,3,9,1,1,11,2,3
n5952,1,0,1,3,1,0,0
n4621,3,9,1,1,13,2,3
n5950,1,0,3,6,1,0,0
g5204,4,10,4,9,14,1,2
g6537,4,9,2,7,16,1,3
n4628,5,16,1,1,16,0,13
n4629,4,16,1,1,15,4,5
n4626,4,18,1,2,17,2,3
n5958,1,0,1,6,1,0,0
n4627,5,16,1,1,16,1,9
n4624,3,9,1,2,12,0,6
n5956,1,0,1,3,1,0,0
n4625,3,9,1,2,13,0,6
n4622,3,9,1,1,13,2,3
n5954,1,0,2,3,1,0,0
n4623,2,8,2,3,25,2,2
g17639,4,8,5,10,5,2,3
g5212,4,10,5,7,39,1,3
g6545,4,8,3,6,3,1,2
g6541,4,4,2,6,3,0,1
n4610,4,16,1,1,9,4,6
n5940,1,0,1,1,1,0,0
g5216,4,10,4,6,5,1,4
g6549,4,6,5,21,10,1,2
n4617,3,9,1,1,32,2,3
n4618,3,9,1,1,13,2,3
n5948,1,0,3,11,1,0,0
n4615,4,16,1,1,2,4,3
n4616,4,16,1,1,2,4,5
n5946,1,0,1,2,1,0,0
n4613,2,5,1,1,13,1,1
n4614,4,12,1,1,3,0,12
n5944,1,0,1,2,1,0,0
n4611,4,16,1,1,15,4,6
n4612,2,8,3,5,11,2,1
n5942,1,0,1,2,1,0,0
n4619,3,9,1,1,11,2,3
g17649,4,8,6,19,2,2,2
g17646,4,8,6,15,9,2,3
n3311,3,9,7,7,7,1,5
n4642,3,9,1,1,11,2,3
n5974,3,8,1,1,16,1,3
n3312,2,6,9,11,7,0,5
n4643,3,9,1,1,11,2,3
n5973,3,8,1,1,16,1,3
g6519,4,8,3,9,12,1,3
n4640,3,9,1,1,12,2,3
n5972,3,8,1,1,16,1,3
n3310,5,17,1,1,8,2,5
n4641,3,9,1,1,13,2,2
n5971,3,8,1,1,16,1,3
g6513,4,8,3,7,10,1,2
n5970,3,8,1,1,16,1,3
n3319,3,6,5,5,14,1,4
n3317,2,3,7,7,8,0,0
n4648,3,9,1,2,34,0,6
n3318,3,6,5,5,7,1,4
n4649,4,18,1,2,8,2,3
n5979,5,11,1,1,2,2,2
n3315,2,5,8,11,7,1,4
n4646,2,8,2,3,23,2,2
n5978,2,5,1,5,17,1,1
n3316,4,14,1,1,8,2,4
n4647,3,9,1,2,12,0,6
n5977,2,5,1,5,14,1,1
n3313,4,12,1,1,15,2,3
n4644,3,9,1,1,13,2,3
n5976,5,16,1,1,30,2,5
n3314,2,5,8,11,14,1,4
n4645,3,9,1,1,13,2,3
n5975,5,10,1,1,3,1,2
g6523,4,8,4,12,38,1,2
n3300,4,12,1,5,9,2,2
n4631,4,12,1,1,31,1,9
n5963,4,8,1,7,5,2,3
n3301,6,20,1,5,9,3,5
n4632,2,5,1,1,13,1,1
n5962,1,0,7,19,1,0,0
n5961,5,14,1,1,15,2,4
n4630,4,16,1,1,15,4,6
n5960,5,14,1,1,15,2,3
g6527,4,8,2,6,40,1,1
n3308,5,16,1,1,16,2,5
n4639,4,16,1,1,11,4,6
n3309,4,8,2,18,3,1,1
n3306,2,6,4,4,9,1,0
n4637,4,12,1,1,16,0,12
n5969,3,8,1,1,16,1,3
n3307,2,7,4,4,15,1,2
n4638,4,16,1,1,15,4,4
n5968,3,8,1,1,16,1,3
n3304,3,6,3,8,8,0,2
n4635,2,8,3,5,11,2,2
n5967,3,8,1,1,16,1,3
n3305,2,2,3,8,6,0,0
n4636,2,5,1,1,13,1,1
n5966,2,8,1,4,14,2,3
n3302,4,12,1,5,17,0,4
n4633,4,16,1,1,18,4,6
n5965,3,7,1,1,11,1,2
n3303,6,17,1,5,9,2,4
n4634,4,16,1,1,15,4,6
n5964,4,16,1,3,12,4,3
n3212,4,7,1,2,21,1,1
n4543,3,6,1,2,16,0,2
n5875,4,8,1,1,10,1,2
n3213,4,9,1,2,7,1,3
n4544,2,5,1,2,18,1,1
n5874,4,8,1,1,9,1,2
n3210,2,4,4,8,9,0,2
n4541,2,3,2,3,16,1,2
n5873,4,8,1,1,15,1,3
n3211,4,10,1,2,14,2,2
n4542,3,10,2,3,19,1,6
n5872,4,8,1,1,36,1,2
n5871,4,8,1,1,7,1,2
n4540,3,7,1,1,10,1,2
n5870,4,8,1,1,38,1,2
n3218,3,9,1,2,21,0,1
n4549,3,12,2,3,13,3,3
n3219,4,10,1,1,20,1,2
n3216,4,15,3,8,41,3,7
n4547,3,11,2,6,18,1,6
n5879,4,10,1,1,15,1,3
n3217,2,8,1,3,4,2,1
n4548,4,12,2,3,17,2,6
n5878,4,8,1,1,10,1,2
n3214,3,9,1,1,11,2,1
n4545,2,2,13,27,9,0,1
n5877,4,8,1,1,10,1,2
n3215,2,8,3,6,35,2,2
n4546,2,7,1,3,14,0,5
n5876,4,8,1,1,10,1,2
n3201,3,10,3,4,36,1,7
n4532,4,12,3,6,19,2,6
n5864,4,8,1,1,10,1,2
n3202,3,12,2,2,7,3,2
n4533,4,12,1,1,9,2,6
n5863,4,8,1,1,10,1,1
n4530,2,5,1,1,17,1,1
n5862,4,8,1,1,10,1,2
n3200,4,8,1,1,37,0,4
n4531,4,16,1,3,11,2,6
n5861,4,8,1,1,32,1,2
n5860,4,8,1,1,11,2,2
n3209,3,8,1,2,13,1,3
n3207,2,7,1,2,18,1,3
n4538,2,7,2,3,20,1,2
n3208,3,10,4,8,12,2,2
n4539,2,5,1,2,11,0,2
n5869,4,8,1,1,33,1,2
n3205,2,4,1,1,14,0,3
n4536,2,6,1,2,12,2,3
n5868,4,8,1,1,27,1,2
n3206,3,10,2,4,13,3,3
n4537,2,7,3,6,10,1,2
n5867,4,10,1,1,35,1,3
n3203,2,3,3,5,19,1,1
n4534,2,8,2,2,17,2,2
n5866,4,8,1,1,10,1,2
n3204,2,6,1,1,37,0,4
n4535,2,8,2,2,11,2,2
n5865,4,8,1,1,10,1,2
n3234,3,9,1,1,11,2,2
n4565,4,16,1,1,2,4,5
n3235,2,8,4,8,35,2,2
n4566,2,8,3,5,11,2,2
n5896,1,0,1,0,1,0,0
n3232,4,7,1,2,21,1,1
n4563,2,5,1,1,13,1,1
n3233,4,9,1,2,29,1,3
n4564,4,16,1,1,15,4,6
n5894,1,0,1,0,1,0,0
n3230,2,4,4,8,7,0,2
n4561,4,16,1,1,15,4,6
n5893,4,6,1,1,34,1,2
n3231,4,10,1,2,17,2,2
n4562,4,12,1,1,36,1,9
n5892,4,8,1,1,22,1,2
n5891,4,8,1,1,22,1,2
n4560,4,16,1,1,15,4,5
n5890,4,4,1,1,22,0,1
n3238,4,10,1,1,20,1,2
n4569,4,16,1,1,15,4,5
n3239,4,6,1,1,15,0,1
n3236,2,8,1,3,4,2,1
n4567,2,5,1,1,13,1,1
n3237,3,9,1,2,21,0,1
n4568,4,12,1,1,16,0,12
n5898,1,0,1,0,1,0,0
n3223,2,3,3,5,19,1,1
n4554,2,8,2,3,30,2,1
n5886,4,9,1,2,16,1,3
n3224,2,6,1,1,37,0,4
n4555,3,9,1,2,12,0,6
n5885,4,9,1,2,16,1,3
n3221,3,10,3,4,36,1,7
n5884,4,9,1,2,16,1,3
n3222,3,12,2,2,29,3,3
n5883,4,9,1,2,7,1,3
n4550,2,8,1,2,15,2,2
n5882,4,9,1,2,7,1,4
n3220,4,8,1,1,37,0,4
n4551,2,8,1,2,15,2,2
n5881,4,6,1,1,3,0,2
n5880,4,10,1,1,10,1,3
n3229,3,8,1,2,16,1,3
g23612,0,0,0,0,0,0,0
n3227,2,7,1,2,21,1,2
n4558,5,16,1,1,3,1,9
n3228,3,10,4,8,15,2,2
n4559,5,16,1,1,16,0,13
n5889,4,9,1,2,16,1,3
n3225,2,4,1,1,14,0,3
n4556,3,9,1,2,28,0,6
n5888,4,9,1,2,16,1,3
n3226,3,10,2,4,13,3,3
n4557,4,18,1,2,4,2,1
n5887,4,9,1,2,16,1,3
g10306,4,7,3,10,6,1,1
n4580,4,18,1,2,17,2,3
n3256,3,4,1,1,60,0,1
n4587,4,16,1,1,25,4,6
n3257,2,8,1,1,59,1,2
n4588,4,16,1,1,15,4,6
n3254,2,6,4,13,13,1,3
n4585,4,12,1,1,7,1,9
n3255,2,4,1,1,9,0,1
n4586,2,5,1,1,13,1,0
n3252,3,9,1,1,11,2,2
n4583,4,16,1,1,15,4,5
n3253,2,8,1,3,4,2,1
n4584,4,16,1,1,15,4,6
n3250,2,2,1,2,21,0,0
n4581,5,16,1,1,16,1,9
n3251,4,9,1,2,15,1,3
n4582,5,16,1,1,16,0,13
n3258,4,11,6,14,54,1,4
n4589,2,8,3,5,11,2,2
n3259,3,9,1,1,55,1,2
n3245,2,7,1,2,22,1,3
n4576,3,9,1,1,13,2,3
n3246,3,10,4,8,16,2,2
n4577,2,8,2,3,5,2,2
n3243,2,5,1,1,34,0,3
n4574,3,9,1,1,11,2,3
n3244,2,4,1,1,14,0,3
n4575,3,9,1,1,13,2,3
n3241,2,3,1,1,6,0,1
n4572,3,9,1,1,13,2,3
n3242,2,3,3,5,19,1,1
n4573,3,9,1,1,11,2,3
g5,0,0,1,0,0,0,0
n4570,4,16,1,1,11,4,6
g6,4,8,4,15,11,1,1
n3240,2,5,2,2,18,1,1
n4571,3,9,1,1,27,2,3
g8,4,8,3,12,11,1,2
