Netlist,LOFi1,LOFi2
n5811,4,8
n5810,4,8
n5819,4,8
n5818,4,8
g5112,4,8
g6444,4,4
g5115,4,10
n5806,4,8
n5805,4,8
n5804,4,8
n5803,4,8
n5802,4,8
n5801,4,8
n5800,4,8
n5809,4,8
n5808,4,8
n5807,4,8
g17743,4,8
n5831,4,9
n4500,2,4
n5830,4,9
n4507,2,6
n5839,4,8
n4508,4,11
n5838,4,8
n4505,2,4
n5837,4,8
n4506,2,4
n5836,4,8
n4503,4,10
n5835,4,8
n4504,2,5
n5834,4,8
n4501,2,5
n5833,4,9
n4502,2,6
n5832,4,9
n4509,3,12
n5820,4,9
n5828,4,9
n5827,4,9
n5826,4,6
n5825,4,8
n5824,4,10
n5823,4,8
n5822,4,8
n5821,4,9
n5829,4,9
DFF_491_n1,4,8
g17764,4,8
n4521,2,7
n5853,4,8
n4522,2,6
n5852,4,8
n5851,4,6
g17760,4,4
n4520,3,12
n5850,4,6
n4529,2,6
n4527,2,8
n5859,4,8
n4528,2,6
n5858,4,8
n4525,2,3
n5857,4,8
n4526,2,5
n5856,4,8
n4523,2,6
n5855,4,8
n4524,2,4
n5854,4,8
g17778,4,8
n4510,2,4
n5842,4,2
n4511,2,5
n5841,4,8
n5840,4,8
n4518,2,4
n4519,2,7
n5849,4,4
n4516,2,6
n5848,4,9
n4517,2,4
n5847,4,9
n4514,2,7
n5846,4,5
n4515,2,7
n5845,4,9
n4512,2,6
n5844,4,8
n4513,2,6
n5843,4,10
g33990,4,10
g33992,6,15
g33991,4,10
g6732,4,4
g101,4,8
g33994,4,10
g100,0,0
g33993,6,13
g33996,4,10
g33995,4,10
g5406,4,8
n3575,3,7
n3576,2,4
n3573,3,11
n3574,2,4
n3571,2,3
n3572,2,6
g6736,4,7
n3570,2,3
n3577,2,4
n3578,2,5
g33998,4,10
g33997,4,10
g33999,6,15
g6741,4,10
g33981,4,10
g33980,4,10
g33983,4,10
g33982,4,10
g33985,6,15
g33984,4,10
g6748,0,0
n3564,4,10
n4895,2,6
g6749,0,0
n3565,4,6
n4896,4,13
n3562,2,8
n4893,2,6
n3563,3,9
n4894,3,12
g6744,0,0
n4891,2,6
g6745,0,0
n3561,2,8
n4892,3,8
g6746,0,0
g6747,0,0
n4890,2,8
n3568,2,3
n4899,2,8
n3569,3,10
n3566,2,8
n4897,5,10
n3567,2,5
n4898,4,10
g33987,4,10
g33986,6,13
g33989,4,10
g33988,4,10
g127,0,0
g126,0,0
n3590,2,3
g125,0,0
g124,0,0
g120,0,0
n3597,2,5
n3595,2,4
n3596,2,4
n3593,2,4
n3594,3,7
n3591,2,6
n3592,3,6
n3599,2,8
g116,0,0
g115,0,0
g114,0,0
g113,0,0
g112,4,8
g110,4,8
n3586,2,5
g6727,4,4
n3587,2,3
n3584,4,6
n3585,2,8
n3582,3,9
g6723,4,8
n3583,4,10
n3580,2,8
n3581,2,4
n3588,3,8
n3589,2,3
g33950,0,0
g142,4,10
g33959,0,0
g135,0,0
g134,0,0
g33945,0,0
g33947,0,0
g33946,0,0
g33949,0,0
g33948,0,0
g33970,4,10
g168,4,8
g33972,6,13
g33971,6,15
g33974,4,10
g33973,4,10
g164,4,10
g20654,4,3
g160,4,10
g20652,4,7
g33976,4,10
g33975,4,10
g33978,6,15
g33977,4,10
g33979,6,13
g157,4,10
g33961,6,14
g33960,6,14
g33963,4,8
g33962,4,9
g153,4,10
g150,4,6
g33965,6,15
g33964,6,15
g33967,4,10
g33966,4,10
g33969,4,10
g33968,4,10
g174,4,8
DFF_206_n1,4,8
g199,4,7
g191,4,8
g1882,4,8
g1890,4,4
g1894,4,9
g1870,4,8
g1874,4,10
g1878,4,8
g26801,0,0
g14828,4,8
g1964,4,8
g1968,4,8
g1974,4,8
g1978,4,9
g1950,4,10
g1955,4,8
g1959,4,8
g1926,4,9
g1932,4,9
g1936,4,10
g4176,4,7
g14779,4,8
n4804,3,12
n4805,2,5
n4802,3,8
g1902,4,8
n4803,2,6
n4800,2,6
n4801,2,6
g1906,4,5
n4808,2,5
n4809,3,7
n4806,2,5
g4180,4,8
n4807,2,5
g1913,4,9
g1917,4,9
g4153,4,8
g5489,4,8
g4157,4,10
g5485,4,8
n4826,3,9
n4827,2,7
n4824,2,6
n4825,2,6
n4822,3,12
n4823,2,8
n4820,3,9
n4821,5,15
n4828,3,12
n4829,3,9
g4164,4,8
g5499,4,9
g4169,4,8
g5495,4,8
n4815,2,6
n4816,2,6
n4813,2,6
n4814,3,10
n4811,3,12
n4812,2,7
n4810,2,6
g4172,4,9
n4819,4,14
n4817,4,14
n4818,3,12
g5467,4,8
g5462,4,10
n4840,3,7
n3510,2,8
n4841,3,10
n3517,2,4
n4848,3,9
n3518,3,7
n4849,3,9
n3515,2,5
n4846,3,9
n3516,3,6
n4847,2,6
n3513,2,3
n4844,4,11
n3514,2,3
n4845,3,9
n3511,2,4
n4842,2,6
n3512,2,3
n4843,3,9
g33935,4,12
n3519,2,4
g5475,4,8
g4141,4,10
g5471,4,9
g4146,4,6
g4145,4,8
n4830,4,16
n3506,3,10
n4837,2,8
n3507,3,9
n4838,3,7
n3504,2,6
n4835,4,16
n3505,2,8
n4836,2,8
n3502,2,8
n4833,3,12
n3503,2,3
n4834,4,16
n3500,2,8
n4831,2,8
n3501,2,8
n4832,3,12
g5481,4,8
n3508,4,10
n4839,4,7
n3509,4,6
g4112,4,8
n3531,2,3
n4862,3,10
n3532,2,3
n4863,2,5
g4116,4,10
n4860,3,9
n3530,2,4
n4861,4,14
g4119,4,6
n3539,2,4
n3537,3,7
n4868,2,8
n3538,2,4
n4869,2,6
n3535,3,6
n4866,2,5
n3536,2,4
n4867,2,8
n3533,2,3
n4864,2,5
n3534,2,5
n4865,2,5
g24151,0,0
g5456,4,8
g4125,4,8
g4122,4,10
g12184,4,7
n3520,2,4
n4851,2,6
n3521,2,5
n4852,3,9
n4850,4,6
n3528,4,6
n4859,4,10
n3529,2,8
n3526,3,9
n4857,2,5
n3527,4,10
n4858,4,14
g24166,1,0
n3524,2,2
n4855,2,8
g24167,1,0
n3525,2,6
n4856,2,8
g24168,1,1
n4853,3,9
g24169,1,1
n3523,2,8
n4854,2,2
g24162,1,1
g24163,1,1
g24164,1,1
g24165,1,1
g24161,1,1
g6751,0,0
g6752,0,0
g203,4,7
g6753,0,0
g6750,0,0
n3553,2,5
n4884,3,12
g21900,4,8
n3554,3,6
n4885,2,8
n2223,1,2
n3551,2,3
n4882,3,8
n2222,1,2
n3552,2,3
n4883,4,16
n4880,3,12
n3550,2,4
n4881,3,10
g21901,4,10
n2228,1,2
n3559,2,5
g24177,1,1
n2225,1,2
n3557,2,4
n4888,2,3
g24178,1,1
n2224,1,2
n3558,2,4
n4889,3,7
g24179,1,1
n3555,2,4
n4886,2,8
n2226,1,2
n3556,3,7
n4887,2,6
g24173,1,1
g24174,1,1
g24175,1,1
g24176,1,1
g209,4,8
g24170,1,1
g24171,1,1
g24172,1,1
n3542,2,8
n4873,3,6
n3543,2,8
n3540,2,5
n4871,3,12
g4104,4,9
n4872,4,14
n4870,2,5
g4108,4,9
n2218,1,2
n3548,2,4
n4879,2,8
n3549,2,3
n3546,4,6
n3547,2,8
n4878,4,10
n3544,3,9
n4875,3,9
n3545,4,10
n4876,2,8
g24184,1,1
g24185,1,1
g24180,1,1
g24181,1,1
g24182,1,1
g24183,1,1
test_so65,4,10
test_so66,4,8
g225,4,10
test_so67,4,10
test_so68,4,8
test_so69,4,8
g222,4,8
n2122,1,2
n3454,3,3
n4785,4,16
g6617,4,10
n3455,2,5
n4786,4,16
n3452,2,6
n4783,4,12
test_so60,4,8
n2123,1,2
n3453,2,5
n4784,2,5
test_so61,4,8
n3450,3,7
n4781,4,16
test_so62,4,8
g6613,4,10
n3451,2,5
n4782,4,16
g7946,1,4
test_so63,4,8
n2120,1,2
test_so64,4,7
n4780,5,16
n3458,3,3
n4789,4,16
n3459,2,5
n3456,2,5
n4787,2,5
n3457,2,5
n4788,4,12
test_so54,4,7
test_so55,4,8
test_so56,4,7
g6621,4,10
test_so57,4,10
test_so58,4,10
test_so59,4,8
n3443,2,5
n4774,3,9
n3444,2,8
n4775,2,8
g6629,4,10
n3441,3,7
n4772,3,9
n3442,3,6
n4773,3,9
test_so50,4,7
n4770,3,9
test_so51,4,8
n3440,2,6
n4771,3,9
test_so52,4,6
g6625,4,10
test_so53,4,8
n2119,1,2
n3449,2,6
n3447,2,8
n4778,4,18
n3448,2,7
n4779,5,16
n3445,3,5
n4776,3,9
n3446,2,8
n4777,3,9
g218,4,4
test_so87,4,9
test_so88,4,10
test_so89,4,8
g246,4,10
n3476,3,7
test_so80,0,0
n3477,3,6
test_so81,4,8
n3474,2,3
test_so82,4,10
n3475,2,6
test_so83,4,9
n2140,1,2
n3472,2,6
test_so84,4,10
n3473,5,10
test_so85,4,8
n3470,2,5
test_so86,0,0
n3471,2,6
n3478,2,5
n3479,2,8
test_so76,4,8
test_so77,4,10
test_so78,4,8
test_so79,4,7
g232,4,10
g6605,4,10
n3465,2,5
n4796,3,9
n3466,2,5
n4797,2,6
test_so70,4,10
n2135,1,2
n3463,2,5
n4794,3,9
test_so71,4,10
n2134,1,2
n3464,2,5
n4795,3,9
test_so72,4,10
g6601,4,10
n3461,2,5
n4792,3,9
test_so73,4,8
n3462,2,5
n4793,3,9
test_so74,4,5
n2131,1,2
n4790,4,16
test_so75,4,9
n3460,2,5
n4791,3,9
g6609,4,10
n3469,3,7
n2136,1,2
n3467,2,5
n4798,2,5
n2138,1,2
n3468,2,5
n4799,2,5
g239,4,10
test_so21,4,9
n3490,3,5
test_so22,4,10
g269,4,10
n3491,2,8
test_so23,4,10
test_so24,4,10
test_so25,4,8
test_so26,0,0
test_so27,4,8
test_so28,4,10
g262,4,10
n3498,2,3
n3499,2,8
n3496,2,5
n3497,3,6
n3494,2,5
n3495,2,8
n3492,2,8
test_so20,4,6
n3493,2,4
test_so29,4,10
test_so10,0,0
test_so11,4,9
n3480,3,5
test_so12,4,8
test_so13,4,10
test_so14,4,7
g255,4,10
test_so15,4,8
test_so16,4,7
test_so17,4,8
n3487,3,6
n3488,2,5
n3485,2,6
g7916,1,4
n3486,3,7
n3483,5,10
n3484,2,3
n3481,2,8
n3482,2,8
g20763,4,7
n3489,2,8
test_so18,4,8
test_so19,4,8
test_so43,4,10
test_so44,0,0
test_so45,4,8
test_so46,0,0
test_so47,4,8
test_so48,4,8
test_so49,4,8
test_so40,4,9
test_so41,4,8
test_so42,0,0
test_so32,4,8
test_so33,4,8
test_so34,4,8
test_so35,0,0
g278,4,7
test_so36,4,8
test_so37,4,10
test_so38,4,8
test_so39,0,0
n2172,1,2
test_so30,4,9
test_so31,4,9
g25609,3,7
g26939,4,10
g25604,4,11
g25605,6,16
g26938,5,9
g26932,6,18
g25600,4,11
g25601,4,11
g26931,6,18
g25602,6,16
g26934,6,18
g26933,6,18
g26930,6,18
g298,4,10
g12300,4,8
g25619,3,7
g294,4,10
g291,4,10
g26947,4,9
g25615,4,11
g26946,4,9
g25616,5,12
g26949,4,12
g25617,4,12
g25618,4,12
g26948,2,7
g25611,4,12
g25612,4,12
g25613,4,10
g26945,6,14
g25614,6,13
g26944,2,5
g26940,4,10
g25610,6,13
g1783,4,9
g25626,4,17
g26958,3,9
g25627,6,16
g26957,4,12
g25628,4,8
g25629,4,8
g26959,4,6
g25622,2,5
g26954,6,17
g26953,2,5
g25623,4,11
g25624,6,15
g26956,2,7
g25625,4,11
g26955,4,12
g26950,3,9
g26952,3,5
g25621,4,13
g26951,3,7
g1792,4,9
g26969,4,8
g25637,4,8
g26968,4,7
g25638,4,8
g1798,4,9
g25639,5,9
g25633,6,15
g26965,2,6
g25634,4,11
g26964,4,10
g26967,4,7
g25635,4,11
g26966,4,7
g25636,4,10
g26961,4,7
g26960,4,8
g25630,4,13
g26963,4,7
g25631,2,5
g26962,4,7
g25632,4,11
g1760,4,9
g1768,4,8
DFF_1338_n1,4,8
g26907,6,17
g26906,6,17
g1772,4,9
g26909,4,10
g26908,6,17
g26903,6,17
g1779,4,9
g26902,6,17
g26905,6,17
g26904,6,17
g26901,6,17
g26900,2,5
g26918,4,9
g26917,4,17
g26919,6,15
g1740,4,10
g26914,4,8
g26913,6,15
g26916,4,17
g1744,4,4
g26915,4,11
g26910,2,6
g26912,6,15
g1748,4,8
g1752,4,8
g26929,6,18
g26928,6,18
g1756,4,8
g26925,4,9
g26924,4,17
g26927,6,18
g26926,4,9
g26921,4,8
g26920,6,15
g26923,4,17
g26922,4,11
g1840,4,8
g1844,4,9
g24236,5,14
g26899,4,9
g1848,4,4
g24237,4,10
g26898,4,13
g24238,4,15
g24239,6,16
g24232,4,10
g26895,6,16
g26894,4,8
g24233,2,5
g26897,4,11
g24234,4,11
g24235,4,11
g26896,6,17
g26891,4,11
g26890,4,10
g26893,3,10
g26892,4,8
g24231,2,6
g1854,4,8
g24247,2,6
g24248,4,10
g24249,2,5
g1858,4,8
g24243,3,6
g24244,2,6
g24245,3,6
g24246,2,6
g24240,4,9
g24241,2,6
g24242,4,10
g4098,4,9
g1821,4,8
g25589,0,0
g24258,4,10
g24259,3,6
g1825,4,4
g25585,0,0
g24254,4,15
g25586,0,0
g24255,6,16
g25587,0,0
g24256,4,9
g25588,0,0
g24257,2,6
g24250,4,11
g25582,0,0
g24251,4,11
g25583,0,0
g24252,4,10
g25584,0,0
g24253,4,10
g1830,4,8
g1834,4,8
g24269,4,8
g25596,4,9
g25597,4,8
g24266,4,11
g24267,4,17
g25598,4,9
g25599,3,8
g24268,4,8
g24261,3,6
g25592,4,8
g24262,2,6
g25593,4,10
g25594,3,7
g24263,5,12
g25595,3,9
g25590,0,0
g25591,4,10
g24260,2,6
g1802,4,10
g4082,4,9
g4087,4,8
g24207,4,11
g1811,4,8
g24208,6,15
g24209,4,10
g24203,4,11
g1816,4,10
g24204,4,11
g24205,6,15
g24206,4,11
g24200,6,13
g24201,4,11
g24202,4,11
g4093,4,10
g4054,4,10
g12238,4,8
DFF_420_n1,4,8
g4057,4,8
g26877,2,7
g24214,5,15
g26876,2,7
g24215,4,13
g24216,4,11
g24210,3,8
g24211,4,9
g26875,2,6
g24212,2,2
g24213,3,7
g4064,4,5
g26888,4,10
g26887,5,13
g26889,2,6
g26884,4,9
g26883,4,7
g26886,6,14
g26885,4,9
g26880,2,2
g26882,5,12
g26881,4,7
g4072,4,8
g4031,4,8
g4035,4,10
n4705,5,14
n4706,4,12
n4703,3,7
n4704,2,6
n4701,5,14
n4702,4,12
n4700,2,6
g4040,4,8
n4707,3,7
n4708,2,6
g4045,4,8
g4049,4,7
n4720,3,7
g5348,4,8
n4727,2,5
n4728,3,7
n4725,3,9
n4726,3,10
n4723,2,8
n4724,2,8
n4721,2,5
n4722,2,5
n4729,2,6
g5357,4,10
g6682,4,8
g5352,4,7
n4716,3,10
n4717,2,4
n4714,2,4
n4715,2,3
n4712,3,7
n4713,2,8
n4710,4,12
n4711,3,7
n4718,3,10
n4719,2,4
g6653,4,10
g301,4,7
n3410,2,6
n4741,4,16
n3411,3,7
n4742,2,5
n4740,4,16
g6657,4,10
n3418,5,10
n4749,3,9
n3419,2,3
n3416,2,8
n4747,3,9
n3417,2,8
n4748,3,9
g24276,4,8
n3414,2,8
n4745,4,16
g24277,4,8
n3415,3,5
n4746,3,9
g24278,3,6
n3412,3,6
n4743,4,12
g24279,4,8
n3413,2,5
n4744,4,16
g24272,4,8
g24273,4,8
g24274,3,6
g24275,4,17
g305,4,6
g24270,3,6
g24271,4,17
test_so98,4,8
test_so99,4,10
test_so90,4,8
n4730,2,8
test_so91,4,8
n3400,2,6
n4731,3,9
test_so92,0,0
test_so93,4,7
test_so94,4,9
test_so95,4,10
test_so96,4,8
test_so97,4,8
g5339,4,8
n3407,2,8
n4738,4,12
n3408,5,10
n4739,2,5
n3405,3,5
n4736,4,16
n3406,2,8
n4737,4,16
n3403,2,5
n4734,5,16
n3404,2,8
n4735,5,16
n3401,3,7
n4732,3,9
n3402,3,6
n4733,4,18
g24280,4,13
g24281,2,3
n3409,2,3
g24282,4,8
g324,4,9
g6633,4,10
n3432,3,6
n4763,4,16
n3433,2,5
n4764,4,16
n2102,1,2
n3430,2,6
n4761,4,12
n2101,1,2
n3431,3,7
n4762,2,5
n4760,4,16
g6637,4,10
n2108,1,2
DFF_992_n1,4,8
n3438,5,10
n4769,3,9
n3439,2,3
g24298,2,5
n3436,2,8
n4767,4,16
n2103,1,2
n3437,2,8
n4768,4,16
n3434,2,8
n4765,2,5
n3435,3,5
n4766,4,12
g329,4,8
g6641,4,10
g311,4,8
g6649,4,10
n3421,3,7
n4752,3,8
n3422,3,6
n4753,2,8
n4750,3,9
n3420,2,6
n4751,3,9
g6645,4,10
n3429,2,3
n3427,2,8
n4758,5,16
n3428,5,10
n4759,4,16
n3425,3,5
n4756,4,18
n3426,2,8
n4757,5,16
n3423,2,5
n4754,3,9
n3424,2,8
n4755,3,9
g316,4,8
g347,4,8
g29250,4,11
g4311,4,6
n2485,2,6
n2484,2,6
g18597,2,5
n2487,2,6
n2486,2,6
g5644,4,8
n2481,2,8
n2480,5,7
n2483,2,8
n2482,5,6
n2488,5,10
g29248,4,11
g29249,4,14
g29246,4,11
g29247,4,14
g29244,4,11
g29245,4,14
g29242,4,11
g29243,4,14
g29240,4,11
g29241,4,14
g336,4,10
g29260,4,12
g29261,4,8
g333,4,8
g4322,4,10
n2474,2,5
n2473,2,5
n2476,3,6
n2475,2,5
n2470,2,4
n2472,5,10
n2471,3,9
n2478,2,5
n2477,2,4
g29259,4,11
n2479,2,8
g29257,6,15
g29258,5,15
g29255,4,14
g29256,5,14
g29253,4,14
g29254,4,11
g29251,4,14
g29252,4,11
g29271,4,11
g29272,4,12
g29270,5,15
g17291,4,8
g29268,4,9
g29269,6,15
g29266,4,12
g29267,4,8
g29264,5,15
g29265,4,11
g29262,4,9
g29263,6,15
g29282,4,11
g358,4,8
g29283,4,12
g29280,6,15
n2490,5,10
g355,4,8
g29281,5,15
g4300,4,7
n2496,2,5
n2498,4,5
n2497,5,10
n2492,2,1
g4308,4,8
n2494,4,5
n2493,2,5
n2499,2,5
g29279,2,4
g29277,2,4
g29278,3,7
g29275,4,8
g29276,3,7
g29273,4,8
g29274,4,9
g385,4,8
g5607,4,6
g5603,4,10
g376,4,8
g31521,4,14
g5615,4,10
g370,4,8
g5611,4,10
g29219,0,0
g29217,0,0
g5619,4,10
g29218,4,8
g29215,0,0
g29216,0,0
g29213,0,0
g29214,0,0
g29211,0,0
g29212,0,0
g29210,0,0
g20899,4,10
g29228,4,9
g29229,6,15
g29226,6,13
g29227,6,15
g29224,6,15
g29225,4,9
g29222,6,16
g29223,5,13
g29220,0,0
g29221,0,0
g392,4,10
g29239,4,10
g29237,4,10
g29238,4,10
g29235,6,14
g29236,4,10
g29233,4,10
g29234,4,10
g29231,4,10
g29232,4,10
g29230,6,14
g25729,4,10
g25728,2,5
g25721,5,17
g25722,4,11
g25720,4,11
g12422,4,8
g25736,4,11
g25733,4,8
g25734,4,11
g25735,5,17
g25730,4,9
g25747,4,8
g25748,4,11
g25749,5,17
g25743,4,10
g25744,4,9
g25742,2,5
g25758,4,9
g25756,2,5
g25757,4,10
g25750,4,11
g29293,5,15
g29294,4,11
g29291,4,9
g29292,6,15
g29290,4,8
n6007,4,6
n6006,4,9
n6005,4,9
n6004,6,24
n6003,4,16
n6002,4,16
n6001,3,10
n6000,2,5
n6009,2,8
n6008,4,10
g29288,4,11
g29289,4,12
g29286,6,15
g29287,5,15
g29284,4,8
g29285,4,9
g29299,5,15
g29297,4,9
g29298,6,15
g29295,4,12
g29296,4,8
n6021,1,4
g25707,5,17
n6029,1,1
g25708,4,11
n6028,1,2
n6027,1,2
n6026,1,4
g25703,4,9
n6025,1,4
g25704,3,9
n6024,1,4
g25705,4,8
g25706,4,11
n6022,1,4
g25700,2,5
g25701,4,10
g25702,4,9
n6010,4,5
n6018,1,0
g25719,4,8
n6016,1,0
g25714,2,5
g25715,4,10
g25716,4,9
n6012,2,5
n6011,2,5
g25688,2,2
g25689,4,6
g25684,4,11
g24353,4,8
g25685,5,11
g24354,4,8
g24355,3,6
g25686,4,11
g25687,6,14
g24350,4,8
g25681,4,8
g24351,3,6
g25682,4,11
g24352,4,17
g25683,5,17
DFF_1225_n1,4,10
g25699,6,17
g25695,2,9
g25696,6,16
g25697,2,6
g25698,6,17
g25691,4,10
g25694,2,2
g25690,4,11
g25648,2,5
g25649,4,10
g26971,4,8
g26970,4,10
g25655,5,17
g25656,4,11
g25653,4,8
g25654,4,11
g25650,4,9
g12350,4,8
g24339,3,6
g24335,4,11
n3715,3,7
g23002,4,7
g24336,4,17
g25667,4,8
n3716,2,5
g25668,4,11
g24337,4,8
n3713,2,7
g25669,5,17
g24338,4,8
n3714,2,6
g25662,2,5
n3711,2,6
g25663,4,10
n3712,4,12
g25664,4,9
g24334,4,13
n3710,3,9
n3719,3,8
n3717,2,8
n3718,2,6
g12368,4,6
g25677,4,10
g24346,4,8
n3704,4,8
g25678,4,9
g24347,3,6
n3705,2,5
g24348,4,17
n3702,2,6
g24349,4,8
n3703,2,5
g24342,4,8
n3700,4,16
g24343,3,6
n3701,2,8
g24344,4,17
g25676,2,5
g24345,4,8
g25670,4,11
g24340,4,17
g24341,4,8
n3708,4,13
n3709,2,5
n3706,2,6
n3707,3,7
n3730,2,5
n2405,2,6
n3737,2,4
n2404,2,3
n3738,2,7
n2407,3,11
n3735,2,6
n2406,2,8
n3736,2,6
n2401,3,10
n3733,2,7
n2400,3,7
n3734,3,10
n2403,2,5
n3731,5,12
n2402,2,5
n3732,2,4
n2409,3,10
n2408,5,17
n3739,3,10
n3726,3,3
n3727,3,9
n3724,2,6
n3725,2,5
n3722,3,8
n3723,2,5
n3720,3,8
n3721,3,8
n3728,2,6
n3729,2,6
g401,4,8
g4372,4,8
g4375,4,7
n3751,4,10
n3752,4,10
n2421,2,3
n2420,2,6
n3750,3,10
n2427,2,6
n3759,2,4
n2426,2,6
n2429,4,12
n3757,3,6
n2428,4,18
n3758,2,5
n2423,2,6
n3755,3,8
n2422,2,6
n3756,4,8
n2425,2,6
n3753,4,9
n2424,2,6
n3754,3,7
g3050,4,8
g405,4,8
g4382,4,8
g4388,4,8
n3740,2,6
n3741,2,6
n2410,4,13
n2416,2,2
n3748,3,12
n2415,2,5
n3749,2,7
n2418,2,6
n3746,3,8
n2417,2,4
n3747,2,8
n2412,3,12
n3744,2,6
n2411,2,8
n3745,2,6
n2414,3,7
n3742,2,6
n2413,4,13
n3743,3,9
g4392,4,7
n2419,2,6
g424,4,8
g5685,4,8
n2441,2,5
n3773,2,8
n2440,4,14
n3774,2,3
g4358,4,8
n2443,5,8
n3771,2,6
n2442,4,16
n3772,2,3
g5689,4,8
n3770,2,8
n2449,2,5
n2448,2,6
n3779,3,5
n3777,3,5
n2444,2,8
n3778,3,5
n2447,2,5
n3775,3,5
n2446,5,6
n3776,2,8
g429,4,8
g411,4,10
g5698,4,7
g4366,4,6
g5694,4,8
n3762,4,8
n3763,2,4
g4369,4,8
n2432,3,9
n3760,2,5
n3761,2,5
n2438,4,6
n2437,4,9
n3768,2,8
n2439,3,9
n3769,2,3
n2434,5,10
n3766,2,6
n2433,4,14
n3767,2,3
n2436,4,15
n3764,2,5
n2435,4,14
n3765,2,3
g417,4,8
g446,4,10
g441,4,8
g4332,4,10
n2463,5,10
n3795,2,5
n2462,5,7
n3796,2,3
n2465,5,7
n3793,2,5
n3794,2,3
n3791,2,3
n3792,3,12
n2461,2,5
n2460,5,11
n3790,2,5
n2467,2,8
n3799,2,7
n2466,5,7
n2469,2,8
n3797,2,5
n2468,5,10
n3798,2,3
g4340,4,8
n2452,5,6
n3784,3,5
n2451,2,8
n3785,2,3
n2454,2,6
n3782,3,5
n2453,2,3
n3783,3,5
n3780,2,3
n3781,3,5
n2450,5,5
n2459,3,10
n2456,5,6
n3788,3,5
n2455,2,3
n3789,3,5
n2458,2,8
n3786,3,5
n2457,2,8
n3787,3,5
g437,4,8
g30360,4,8
g30361,4,11
g30362,4,12
g30363,4,10
g30364,4,10
g30365,4,8
g30366,4,11
g460,4,10
g5527,4,8
n3696,4,9
n3697,2,5
n3694,2,6
n3695,2,5
g5523,4,8
n3692,3,12
n3693,3,12
n3690,2,7
n3691,4,11
n3698,2,6
n3699,2,5
g30367,4,12
g30368,4,10
g30369,4,10
g28030,2,7
g28051,4,11
g30350,4,8
g28050,4,11
g30351,4,11
g30352,4,12
g452,4,8
g30353,4,10
g30354,4,10
g30355,4,8
n3685,2,7
n3686,2,6
n3683,2,6
n3684,2,6
n3681,2,6
g5535,4,8
n3682,2,7
n3680,2,8
n3689,2,6
g28049,6,16
n3687,3,8
n3688,2,7
g30356,4,11
g28046,4,11
g28045,6,15
g30357,4,12
g30358,4,10
g28048,4,10
g28047,4,11
g30359,4,10
g28042,2,3
g28041,2,4
g28044,5,9
g28043,4,10
g30381,4,11
g28060,5,10
g30382,4,12
g30383,4,10
g30384,4,10
g30385,4,8
g30386,4,11
g30387,4,12
g30388,4,9
g482,4,9
g5507,4,8
g5503,4,8
g30380,4,8
g28057,6,12
g30389,3,8
g28056,6,14
g28059,6,12
g28058,6,14
g28053,5,12
g28052,4,11
g28055,6,13
g28054,4,11
g30370,4,8
g479,4,7
g28071,4,12
g28070,5,12
g30371,4,11
g30372,4,12
g28073,6,16
g5511,4,6
g28072,6,16
g30373,4,10
g475,4,10
g30374,4,10
g30375,4,8
g30376,4,11
g30377,4,12
g5517,4,8
g30378,4,10
g30379,4,10
g28069,6,18
g28063,6,18
g28066,6,18
g32980,2,5
g32982,2,7
g32981,6,14
g32984,6,14
g32983,6,15
g32986,6,15
g32985,2,7
g31656,0,0
g32988,5,13
g32987,5,12
g30327,0,0
g32989,5,14
g30329,4,8
g496,4,8
n2397,4,6
n2396,2,4
n2399,3,6
g490,4,9
n2398,3,10
n2393,3,9
n2395,5,11
n2394,2,5
g32975,1,2
g32977,6,15
g32976,6,14
g32979,6,15
g32978,6,15
g30340,4,8
g30341,4,8
g30342,6,14
g30343,6,15
g30344,3,6
g30345,4,9
g30346,4,8
g30347,4,8
g30348,4,10
g30349,4,10
g32991,5,12
g32990,5,14
g30330,4,7
g32993,5,14
g30331,0,0
g32992,5,13
g30332,0,0
g32995,5,12
g32994,5,14
g30333,4,8
g31665,0,0
g32997,5,14
g30334,6,15
g32996,5,13
g30335,6,16
g30336,6,14
g32999,5,12
g30337,6,15
g32998,5,14
g30338,3,6
g30339,4,9
g13865,4,8
g9048,4,8
g13881,4,8
DFF_418_n1,4,8
g13895,4,8
g28082,2,6
g28084,4,10
g28083,4,10
g28074,6,15
g9019,4,8
g28093,6,18
g30392,3,8
g30393,3,9
g28092,4,8
g30394,6,14
g30395,6,14
g30396,6,14
g30397,6,14
g28091,4,8
g30398,6,15
g28090,4,10
g30399,6,15
g30390,3,8
g30391,3,8
g28089,4,10
g28086,4,10
g28085,4,10
g28088,4,10
g28087,4,10
g1982,4,8
g1988,4,8
g28096,6,18
g28099,6,18
g1992,4,4
g1996,4,3
g20901,4,8
n4903,2,5
n4904,4,8
n4901,5,10
n4902,4,10
g25761,4,8
g25762,4,11
n4900,2,5
g25763,5,17
g25764,4,11
n4909,2,6
n4907,2,6
n4908,3,8
n4905,2,8
n4906,2,6
g4297,4,4
g12470,4,8
n4925,2,5
n4926,5,10
n4923,4,10
n4924,2,8
n4921,4,14
n4922,5,10
n4920,2,6
n4929,4,8
n4927,4,10
n4928,2,5
n4914,2,5
n4915,3,9
n4912,2,4
n4913,2,7
n4910,2,7
n4911,3,11
n4918,2,6
n4919,3,12
n4916,2,7
n4917,3,8
g4273,4,8
